run,case,profile,rate,mode,repetition,source,Outcome,Planned,Offered,NotOffered,Admitted,QueueRejected,DictionaryRejected,LogicalCapRejected,Committed,ControlConsumed,Unknown,SqlRows,RetainedLogicalRecordBytes,DictionaryLogicalBytes,QueuePeakRecords,QueueAtSourceEnd,ObservedOfferedPerSecond,ObservedCommittedPerSecond,ObservedCommittedSqlRowsPerSecond,DatabaseBytes,DatabaseBytesBeforeIndexes,IndexPageBytes,PeakSampledPackageBytes,PeakSampledWalBytes,WorkerAllocatedBytes,SourceElapsedSeconds,WriterThroughDrainSeconds,DrainSeconds,IndexSeconds,CheckpointSeconds,FinalizationSeconds,WorkerElapsedSeconds,WorkerCpuSeconds,CommitTransactions,MeanCommittedPerTransaction,MaxOfferLatenessMicroseconds,MaxOfferedToCommitMicroseconds,OfferedPerSecond,CommittedPerSecond,PeakSampledDiagnosticRssBytes,PeakSampledWriterWorkerRssBytes,PeakSampledVerifierRssBytes,TransientPathMissObservations,ReopenSeconds,TimeToFirstQuerySeconds,TraversalSeconds,QueryMaximumMicroseconds,DatabaseSha256,WorkerReportSha256,SupervisorReportSha256,VerificationReportSha256
01,r1-1000-Numeric-producer-only,Numeric,1000,producer-only,1,edcea21f0363c19a8d568deecce31a53dda18780,control-complete,10000,10000,0,10000,0,0,0,0,10000,0,0,720000,0,16,1,1000.0998436677628,0,0,0,0,0,0,0,1938040,9.999001663,10.000102066,0.001100403,0.0,0.0,0.001494749,10.018439672,10.311226,0,,4823.373,0,1000|1000|1000|1000|1000|1000|1000|1000|1000|1000|0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,135274496,61300736,0,0,,,,,,5c5a2bd1cf8cff516f8323c5d4d5e443e7cedd28f736b08d1602faa780c30200,6d577a857d9c5827e5ee7b53bc67701d6138d62bcb208d47763db32758e04378,
01,r1-1000-Numeric-sqlite,Numeric,1000,sqlite,1,edcea21f0363c19a8d568deecce31a53dda18780,complete-not-production-approval,10000,10000,0,10000,0,0,0,10000,0,0,10000,720000,0,21,1,1000.0993342663164,999.8196360370276,999.8196360370276,1277952,339968,937984,2205920,1087712,15125576,9.999006756,10.001803965,0.002797209,0.038613991,0.003041384,0.045596966,10.166183392,10.688372,100,100.0,4351.663,115478.382,1000|1000|1000|1000|1000|1000|1000|1000|1000|1000|0,911|1008|1010|1009|1009|1010|1008|1008|1008|1007|12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,158273536,83042304,60469248,0,0.023050938,0.036627988,0.03005969,11216.102,e1f145dab22ea63201f95f478096082091ab8437d080408b6f92b07978ad1994,d00a79e5b370f26341a946216b5e6e7f9baf11ec938254f00cb16a785b75b547,fa6a692454360c4238d3ac3503d0ced7776650a7c698fe24cf93f76f5b8b6f9c,3f547ae6cb5e30ec8d7c180fe2b9462799cc3e2f227c694371cbc49eb46d3e03
01,r1-1000-RepeatedStacks-producer-only,RepeatedStacks,1000,producer-only,1,edcea21f0363c19a8d568deecce31a53dda18780,control-complete,10000,10000,0,10000,0,0,0,0,10000,0,0,720000,26002,19,1,1000.0989223846702,0,0,0,0,0,0,0,2082264,9.999010874,9.999859111,0.000848237,0.0,0.0,0.000881035,10.017371011,10.3194,0,,5891.364,0,1000|1000|1000|1000|1000|1000|1000|1000|1000|1000|0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,135438336,61399040,0,0,,,,,,38aa2e99a7e3eafa7d825a12c150d11c236bff9dd98923bf690ff1980214c8b4,ce33d130994066b7618ec52f9aeaec626040304014e07b045e8590e587284652,
01,r1-1000-RepeatedStacks-sqlite,RepeatedStacks,1000,sqlite,1,edcea21f0363c19a8d568deecce31a53dda18780,complete-not-production-approval,10000,10000,0,10000,0,0,0,10000,0,0,11024,720000,26002,28,1,1000.0999062802678,999.8634690432475,1102.249488273276,1310720,372736,937984,2292248,1141272,15853136,9.999001037,10.001365496,0.002364459,0.037360154,0.003316844,0.045399115,10.147010575,10.692764,100,100.0,4208.813,121907.291,1000|1000|1000|1000|1000|1000|1000|1000|1000|1000|0,912|1007|1008|1009|1010|1009|1009|1008|1009|1008|11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,158515200,83324928,61128704,0,0.023310791,0.036712272,0.031329936,10980.415,c9f2282d6828c23ca2340aa18db2ff0c9a72b900d613d1a6749ab35fb36ad573,e0ce63b828fe3cccc731296a62814673457a90279f5f8ab48d75c2a68590be0f,f5dd6c23ff7d1f9024bfba5cd2a0ea6831cc939f98c0a4366e6911dacb9dfb9f,4af91673538ca33c5b112832d4d1f7ced9fb1fbfab712caa8ff26c9cc7d13cc5
01,r1-1000-NovelStacks-producer-only,NovelStacks,1000,producer-only,1,edcea21f0363c19a8d568deecce31a53dda18780,control-complete,10000,10000,0,10000,0,0,0,0,10000,0,0,720000,2108890,19,1,1000.0998789748134,0,0,0,0,0,0,0,12521736,9.99900131,9.999874836,0.000873526,0.0,0.0,0.028680873,10.045192785,10.377853,0,,4488.157,0,1000|1000|1000|1000|1000|1000|1000|1000|1000|1000|0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,146739200,72613888,0,0,,,,,,5920c92383d98ea994c3171039fef8eb02b2a1815005d6b7dbf0e3a206dd934a,f2ffc046b96d29a7ac22ef42086f9ebbbfdf8564fbda5e2d0e856333527baa9f,
01,r1-1000-NovelStacks-sqlite,NovelStacks,1000,sqlite,1,edcea21f0363c19a8d568deecce31a53dda18780,complete-not-production-approval,10000,10000,0,10000,0,0,0,10000,0,0,90000,720000,2108890,27,1,1000.0996722335641,999.5712110388441,8996.140899349597,3592192,2646016,946176,4356536,1124792,68559200,9.999003377,10.004289729,0.005286352,0.039766231,0.004895941,0.070189839,10.173386885,10.865038,100,100.0,4312.013,121944.821,1000|1000|1000|1000|1000|1000|1000|1000|1000|1000|0,911|1010|1008|1009|1009|1008|1010|1008|1007|1009|11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,161390592,86130688,71335936,0,0.02525565,0.044055565,0.12778798,15102.528,35ff640d03eff10c727e7015af42f355a304bbf410de8b635f9caafb90ccfa02,32f9e59dca38693652c8ad00dcf38ba9073ec6eca3a64c4d893d0d6edde217ce,3327a5a2ba908233139992d6ce66e3e1593e233e3c9a47fe2b035ec97ce88f05,ae8ba18af2fdf22fa08061143cd3ff689aec660b8bf862f7465982bf92c5b780
01,r1-1000-Activity-producer-only,Activity,1000,producer-only,1,edcea21f0363c19a8d568deecce31a53dda18780,control-complete,10000,10000,0,10000,0,0,0,0,10000,0,0,1360000,0,19,1,1000.099824263889,0,0,0,0,0,0,0,1941760,9.999001857,9.999755243,0.000753386,0.0,0.0,0.001453637,10.017746617,10.29805,0,,5199.724,0,1000|1000|1000|1000|1000|1000|1000|1000|1000|1000|0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,134938624,61054976,0,0,,,,,,bae453caef62fbfb051aff1f91606f433e3b970f6786b3e39969b7ee07a949e1,8a44c49d570a63980bbf5b0acd44bca339684b3d52834872f1e1c648a831c111,
01,r1-1000-Activity-sqlite,Activity,1000,sqlite,1,edcea21f0363c19a8d568deecce31a53dda18780,complete-not-production-approval,10000,10000,0,10000,0,0,0,10000,0,0,50000,1360000,0,22,1,1000.0996401271658,999.7843829007599,4998.9219145038,2412544,1466368,946176,3033792,1170112,37610960,9.999003698,10.002156636,0.003152938,0.036117415,0.008861296,0.049267391,10.162836589,10.798634,100,100.0,3847.008,116142.153,1000|1000|1000|1000|1000|1000|1000|1000|1000|1000|0,911|1009|1008|1008|1009|1008|1010|1009|1006|1008|14|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,161349632,85872640,61112320,0,0.023542474,0.038862856,0.063545549,12578.722,1b2da6e6c6bbc69a220633ce2aa29890fac37e50fbfd9c15320059e2a9b1193e,86518997e617fe2d4bac36acfa194b1ee4e572117605ecb4e4b2875bea414048,be55e9b35413e1f6ceae90ab44a4cb0b6c3a3fb9dd512193e94ad5704adb8138,11d2a152e2cb863780c10a6a7288bafbb841930fc73c8c68e43b1df462f52eaa
01,r1-10000-Numeric-producer-only,Numeric,10000,producer-only,1,edcea21f0363c19a8d568deecce31a53dda18780,control-complete,100000,100000,0,100000,0,0,0,0,100000,0,0,7200000,0,245,9,10000.080629650109,0,0,0,0,0,0,0,7360760,9.999919371,10.0010858,0.001166429,0.0,0.0,0.001377599,10.019855605,10.375548,0,,5596.553,0,10000|10000|10000|10000|10000|10000|10000|10000|10000|10000|0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,138457088,64450560,0,0,,,,,,4a9b211e459e7148286a3ddd421d7e6810fb3962f27ab0abc91ee1ade9d7620d,ed6d7e9013c170e20d2a188f75be06e7295191748dff01637eef668712022258,
01,r1-10000-Numeric-sqlite,Numeric,10000,sqlite,1,edcea21f0363c19a8d568deecce31a53dda18780,complete-not-production-approval,100000,100000,0,100000,0,0,0,100000,0,0,100000,7200000,0,223,2,10000.097111943063,9996.748367655202,9996.748367655202,13037568,3219456,9818112,15513528,2443192,140605072,9.999902889,10.00325269,0.003349801,0.295033199,0.000753731,0.300723663,10.416618937,11.235153,391,255.7544757033248,4962.777,41301.965,10000|10000|10000|10000|10000|10000|10000|10000|10000|10000|0,9728|10240|9728|10240|9984|9984|9984|9984|9984|9984|160|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,158547968,83226624,62353408,0,0.022594613,0.038474029,0.190114353,13545.052,7cfd94fcec96aca4f985b38acdf11db151d09b521540b1623141972f3cc993d5,f01f748e0b90c106aeb316522393142fd3ac736d6c9e7a32d6478f7df20772b8,ab89fce00199c3cc40cce6ccb003b360694d87b77454c30662161a951ebf8db0,7ac454021bb0c66ef05fcffe526aea6a1ff109e1a1a987763612346a69578a0a
